date,usdt_close,krw_close,usdkrw,usd_ffill,greed,greed_ffill,kimchi_pct
2020-10-04,0.2481,290.0,1169.5,True,42.0,False,-0.0527135774425091
2020-10-05,0.2503,291.0,1169.5,False,42.0,False,-0.5895789524567263
2020-10-06,0.2454,288.0,1163.4,False,47.0,False,0.87623620675088
2020-10-07,0.2486,290.0,1160.0,False,43.0,False,0.5631536604987941
2020-10-08,0.2515,290.0,1162.5,False,46.0,False,-0.8101926077940913
2020-10-09,0.253,289.0,1156.2,True,48.0,False,-1.202863681147115
2020-10-10,0.2541,290.0,1156.2,True,53.0,False,-1.2901782161582998
2020-10-11,0.2554,291.0,1156.2,True,55.0,False,-1.4539704703266931
2020-10-12,0.2561,292.0,1156.2,False,52.0,False,-1.3856065268138984
2020-10-13,0.2567,295.0,1148.3,False,56.0,False,0.0784988605130099
2020-10-14,0.2492,287.0,1149.5,False,53.0,False,0.1901168558875232
2020-10-15,0.246,283.0,1145.7,False,56.0,False,0.4107972475378085
2020-10-16,0.2403,277.0,1144.6,False,52.0,False,0.7099213233734636
2020-10-17,0.2408,278.0,1145.6,True,56.0,False,0.7755804673435174
2020-10-18,0.2422,278.0,1145.6,True,55.0,False,0.1930626611738706
2020-10-19,0.2457,281.0,1145.6,False,55.0,False,-0.1683708387618887
2020-10-20,0.2434,279.0,1142.2,False,56.0,False,0.3555680506430958
2020-10-21,0.2511,283.0,1139.7,False,61.0,False,-1.1107291818778895
2020-10-22,0.2572,289.0,1133.7,False,73.0,False,-0.8874313053872984
2020-10-23,0.2552,287.0,1134.1,False,74.0,False,-0.8369499629468646
2020-10-24,0.2564,289.0,1134.6,True,73.0,False,-0.6570521943035201
2020-10-25,0.2534,286.0,1134.6,True,76.0,False,-0.524382586841865
2020-10-26,0.2481,282.0,1134.6,False,75.0,False,0.1796626332629447
2020-10-27,0.2526,284.0,1129.1,False,61.0,False,-0.4244792252856011
2020-10-28,0.2454,280.0,1127.6,False,70.0,False,1.187858729028468
2020-10-29,0.2424,274.0,1129.3,False,67.0,False,0.0941323212282352
2020-10-30,0.2388,270.0,1133.4,False,74.0,False,-0.2423445975244242
2020-10-31,0.2396,272.0,1130.4,True,73.0,False,0.4268732860972291
2020-11-01,0.2398,271.0,1130.4,True,72.0,False,-0.0257940829436309
2020-11-02,0.2353,267.0,1130.4,False,71.0,False,0.3823099751593117
2020-11-03,0.2394,271.0,1134.7,False,71.0,False,-0.2382428560458449
2020-11-04,0.2373,268.0,1134.6,False,74.0,False,-0.460770066681615
2020-11-05,0.2456,274.0,1136.5,False,72.0,False,-1.8358839284562831
2020-11-06,0.2588,289.0,1130.9,False,90.0,False,-1.2563067836028896
2020-11-07,0.249,280.0,1124.4,True,88.0,False,0.0087150451682171
2020-11-08,0.2538,284.0,1124.4,True,82.0,False,-0.4810270582275899
2020-11-09,0.2507,279.0,1124.4,False,90.0,False,-1.0241973488107403
2020-11-10,0.2543,283.0,1115.6,False,90.0,False,-0.2457127863283004
2020-11-11,0.256,285.0,1115.9,False,86.0,False,-0.2346760462407116
2020-11-12,0.2551,282.0,1112.4,False,87.0,False,-0.6248792169409767
2020-11-13,0.2662,293.0,1113.2,False,89.0,False,-1.1250284476454042
2020-11-14,0.2683,297.0,1115.1,True,90.0,False,-0.7290996400076022
2020-11-15,0.27,299.0,1115.1,True,86.0,False,-0.6898567476094186
2020-11-16,0.2885,314.0,1115.1,False,90.0,False,-2.3954609537548577
2020-11-17,0.303,331.0,1108.0,False,86.0,False,-1.4071082198472529
2020-11-18,0.2934,326.0,1106.8,False,91.0,False,0.3895113038589803
2020-11-19,0.304,338.0,1105.9,False,94.0,False,0.5373094550283009
2020-11-20,0.3306,364.0,1112.2,False,86.0,False,-1.0044566488181084
2020-11-21,0.4639,500.0,1114.2,True,91.0,False,-3.2652579998761033
2020-11-22,0.4465,494.0,1114.2,True,94.0,False,-0.7015815182728313
2020-11-23,0.6157,673.0,1114.2,False,90.0,False,-1.896894248088099
2020-11-24,0.6951,758.0,1112.6,False,88.0,False,-1.9871852511764487
2020-11-25,0.6314,702.0,1111.2,False,94.0,False,0.0553468551150793
2020-11-26,0.537,600.0,1107.2,False,93.0,False,0.9138760616139718
2020-11-27,0.5631,627.0,1105.8,False,86.0,False,0.6944253735305495
2020-11-28,0.6258,688.0,1104.4,True,87.0,False,-0.4533885145666327
2020-11-29,0.6059,665.0,1104.4,True,89.0,False,-0.6210749434257479
2020-11-30,0.6648,720.0,1104.4,False,88.0,False,-1.9347617733856184
2020-12-01,0.6114,681.0,1104.9,False,95.0,False,0.8088600951546621
2020-12-02,0.6303,691.0,1107.1,False,92.0,False,-0.9752192564133176
2020-12-03,0.6308,687.0,1103.3,False,92.0,False,-1.2876629234910064
2020-12-04,0.5534,612.0,1098.1,False,92.0,False,0.7094851583016482
2020-12-05,0.5853,635.0,1086.6,True,93.0,False,-0.1551887115676553
